"DATASET","REP","CLIM_YR","PLT_SZ","SurvRate_JAGS","SurvRate_GLMM","SurvRate_True","GrwthRate_JAGS","GrwthRate_GLMM","GrwthRate_True"
"SimDat40yr",9,2006,74.5820454297392,0.976081594006775,0.980852596752726,0.979147929922097,46.3274771702761,42.0627806222115,49.3976254660548
"SimDat40yr",9,2006,77.5031984579935,0.976468821224418,0.981162515030411,0.979571249963145,47.5385117812937,42.9346965641481,50.8391864865122
"SimDat40yr",9,2006,80.3983200736663,0.976832746451561,0.98145376192289,0.97996748374476,48.7240522763265,43.7838584653691,52.2544880811471
"SimDat40yr",9,2006,83.2803153907084,0.97717705690623,0.981729292343571,0.980340905252878,49.8903733130916,44.6151317741959,53.6507064429186
"SimDat40yr",9,2006,86.1944809986906,0.977508476431141,0.981994489899927,0.98069899265487,51.0563139064952,45.4421627479969,55.0502171864645
"SimDat40yr",9,2006,89.2999312115543,0.977844627908026,0.98226345713171,0.98106082079333,52.2846305464734,46.3092637352864,56.5285694046506
"SimDat40yr",9,2006,92.5321072650703,0.978177357604983,0.982529670153773,0.981417589069174,53.5482669953571,47.1969529811506,58.0535938459919
"SimDat40yr",9,2006,95.563197366089,0.978474766009385,0.982767609558943,0.981735311558035,54.7201794785573,48.0163770041367,59.4716177041716
"SimDat40yr",9,2006,98.4998451822912,0.978750433189502,0.982988143911945,0.982028808507373,55.8439907544546,48.7987958896888,60.8347159968052
"SimDat40yr",9,2006,101.582785938045,0.979027577625163,0.983209849463761,0.982322899055506,57.0120128828665,49.6085836306372,62.2547768637347
"SimDat40yr",9,2006,104.609020660149,0.97928827131466,0.983418385483047,0.982598627834588,58.147282645169,50.3924120285145,63.6382208142947
"SimDat40yr",9,2006,107.614900657569,0.979536841611239,0.983617215226189,0.98286070880915,59.2642896499781,51.1605760143909,65.0024376482963
"SimDat40yr",9,2006,110.526931138367,0.979768441463776,0.983802463142762,0.983104165209574,60.3366916423805,51.8952780457369,66.3149567674457
"SimDat40yr",9,2006,113.482325854321,0.979994810328234,0.983983520328181,0.983341434552442,61.4156192831204,52.631755295496,67.63816601258
"SimDat40yr",9,2006,116.484229323014,0.980216342343446,0.984160702583915,0.983572969611933,62.5021220082458,53.3707288406806,68.9733629238594
"SimDat40yr",9,2006,119.307589339838,0.980417434339119,0.984321531560001,0.983782567736198,63.5156422793031,54.0576940396923,70.2212757280955
"SimDat40yr",9,2006,122.145085442724,0.980612846337245,0.984477813085361,0.983985718074416,64.5263331450261,54.7405080674957,71.4679817200052
"SimDat40yr",9,2006,125.683539230623,0.98084769681032,0.984665629659645,0.984229174930496,65.7759649894151,55.5817276691268,73.0125224403441
"SimDat40yr",9,2006,128.631941377867,0.981036335233792,0.984816484475952,0.984424173253745,66.8084142308139,56.2742763440763,74.2911709960577
"SimDat40yr",9,2006,131.335191543257,0.981203976607449,0.984950544450942,0.984597049878124,67.7482094139578,56.9027694353607,75.4570444444383
"SimDat40yr",9,2006,134.07814266807,0.98136914897915,0.98508262690959,0.984766994118326,68.6953371739881,57.5343612829483,76.6338929124386
"SimDat40yr",9,2006,136.799802654624,0.981528367212452,0.98520994519665,0.984930446825065,69.628845302452,58.155127023295,77.7956413300165
"SimDat40yr",9,2006,139.975421359639,0.981708553339762,0.985354027061619,0.985114989422681,70.7103849365212,58.8722030973901,79.1438491358993
"SimDat40yr",9,2006,144.272288713018,0.981943326555646,0.985541753110824,0.985354739336216,72.1610605737324,59.830505153278,80.9559205147236
"SimDat40yr",9,2006,146.991236441018,0.982086819946726,0.985656488452335,0.98550088165804,73.0716822178459,60.4300340114825,82.0955405587213
"SimDat40yr",9,2006,149.630067913676,0.982222527200702,0.985764996178361,0.985638817892922,73.95019750435,61.0069754591761,83.1965256599938
"SimDat40yr",9,2008,1,0.878228152292692,0.79471293591893,0.806392457439133,3.21496007794757,3.81957800020891,2.30299951042112
"SimDat40yr",9,2008,2.58689776396124,0.916012349543624,0.853845664413108,0.874881651353592,6.08729502360902,6.34527770183471,4.69187940994108
"SimDat40yr",9,2008,5.43509194201455,0.937756197431327,0.889586849981582,0.912895807674378,10.0227574557015,9.43269248526511,8.17998369761245
"SimDat40yr",9,2008,8.37819600856587,0.94788348171061,0.906691934099688,0.92991668092317,13.4036195213489,11.8850943683261,11.3101451030368
"SimDat40yr",9,2008,11.394562374498,0.95411137863639,0.917362148636493,0.940084190560426,16.4786195280933,14.0062025414919,14.2382490437118
"SimDat40yr",9,2008,14.3928317919052,0.958362074855376,0.924712763079002,0.946866982675819,19.2779188635254,15.8670681929288,16.9594756125875
"SimDat40yr",9,2008,17.4168456893173,0.961550550029162,0.93026338488914,0.951860431093713,21.9123776863625,17.5681705047858,19.5624491255488
