"DATASET","REP","CLIM_YR","PLT_SZ","SurvRate_JAGS","SurvRate_JAGSnoMs","SurvRate_GLMM","SurvRate_True","GrwthRate_JAGS","GrwthRate_JAGSnoMs","GrwthRate_GLMM","GrwthRate_True"
"SimDat20yr",10,2015,50.3660178676982,0.997873654513058,0.996366120595805,0.981173359363854,0.997727414960227,51.1210989778803,50.0347150679233,35.9264706131529,59.1722199121411
"SimDat20yr",10,2015,53.3730542950344,0.997956796968824,0.996501570160738,0.98176353542726,0.997797971533249,53.3948959460703,52.0705096896568,37.2753357856614,61.7979072766375
"SimDat20yr",10,2015,56.4401395039259,0.998033836705125,0.996627318238125,0.982314996894036,0.997863886532136,55.6813920107715,54.1103809528779,38.6228960592231,64.4379985376142
"SimDat20yr",10,2015,59.5477200143269,0.99810501081035,0.996743705890019,0.982828580895707,0.997925264155417,57.9666576672986,56.1421710099962,39.9612928215367,67.0764188271754
"SimDat20yr",10,2015,62.5132346794858,0.998167323255169,0.996845777269346,0.983281595277031,0.997979396375949,60.1198376199113,58.0504056480676,41.2149567558047,69.5621214292638
"SimDat20yr",10,2015,65.4022525955798,0.998223412539589,0.996937799119821,0.98369216613003,0.998028452247488,62.1930851623978,59.8824088964639,42.4156000797939,71.9553529436737
"SimDat20yr",10,2015,68.363024324324,0.998276717764115,0.997025384216947,0.984084904826028,0.998075374142382,64.2942445081809,61.7338768445341,43.6261732922064,74.3806161282662
"SimDat20yr",10,2015,71.4628636164746,0.998328507288779,0.997110604862148,0.984468937225933,0.998121253412999,66.4699034342759,63.6456719475796,44.8733058489014,76.8916775639039
"SimDat20yr",10,2015,74.5820454297392,0.998376930151892,0.997190401374357,0.984830274920138,0.998164419849076,68.6354884913142,65.5434284795162,46.1084736286061,79.3909235524915
"SimDat20yr",10,2015,77.5031984579935,0.998419279125353,0.997260283077487,0.985148146083514,0.998202392907977,70.6431689004862,67.298341434478,47.2482577417945,81.7077729899212
"SimDat20yr",10,2015,80.3983200736663,0.998458674626652,0.997325372421712,0.985445452999716,0.998237909138867,72.6144057428643,69.0173480470447,48.3625377583374,83.9824187779174
"SimDat20yr",10,2015,83.2803153907084,0.998495583917448,0.997386426967042,0.985725441134703,0.998271356634788,74.559184553749,70.7094644263275,49.4573332738735,86.2263943572326
"SimDat20yr",10,2015,86.1944809986906,0.998530776681991,0.997444709413957,0.985993745355223,0.998303408828215,76.508666900951,72.4019756880783,50.5503985436594,88.4756613898777
"SimDat20yr",10,2015,89.2999312115543,0.998566135207072,0.997503334211536,0.986264664465036,0.998335774175109,78.5680979727033,74.1860344993911,51.7004924313429,90.8516409401158
"SimDat20yr",10,2015,92.5321072650703,0.998600798469082,0.997560873892255,0.986531607585544,0.998367665605811,80.6926768306699,76.0224404600317,52.8821437594884,93.3026311991801
"SimDat20yr",10,2015,95.563197366089,0.998631498470099,0.997611891986847,0.986769176952991,0.998396048943819,82.6683044789365,77.7264746824137,53.976683664904,95.5816521573375
"SimDat20yr",10,2015,98.4998451822912,0.998659714272163,0.997658830314165,0.986988497753872,0.99842225323754,84.567511257905,79.3613878024626,55.0251158707141,97.7723977918493
"SimDat20yr",10,2015,101.582785938045,0.998687847684001,0.99770567888893,0.987208131029296,0.99844849620197,86.546188840822,81.0614533039222,56.1135935333342,100.054692591703
"SimDat20yr",10,2015,104.609020660149,0.998714096588284,0.997749432831015,0.987413930752677,0.998473087650391,88.4739458449563,82.7146468994922,57.1704019105606,102.278137380431
"SimDat20yr",10,2015,107.614900657569,0.998738930385869,0.997790867417565,0.987609434560723,0.998496450222703,90.3750059003683,84.3420004595083,58.209128567775,104.470680713343
"SimDat20yr",10,2015,110.526931138367,0.99876189733596,0.997829222047523,0.987790948476817,0.998518142371451,92.2041115070984,85.905060743844,59.2053870318922,106.580136462813
"SimDat20yr",10,2015,113.482325854321,0.998784185236717,0.997866475286291,0.987967759064291,0.998539273819823,94.0481995506809,87.4783036433813,60.206748572842,108.706773179321
"SimDat20yr",10,2015,116.484229323014,0.998805842968476,0.997902706576093,0.98814020957265,0.998559885600194,95.9090788502664,89.0632609277362,61.2141863091117,110.852676244717
"SimDat20yr",10,2015,119.307589339838,0.99882537014172,0.99793540061523,0.988296246342704,0.998578536871034,97.6483847278359,90.5423485776278,62.1531046514414,112.858297954396
"SimDat20yr",10,2015,122.145085442724,0.998844224791556,0.997966993345966,0.988447414521484,0.998596607461661,99.386080051006,92.0178698795051,63.0886008745516,114.86198009827
"SimDat20yr",10,2015,125.683539230623,0.998866726469601,0.998004729327417,0.98862848587526,0.99861825442436,101.539003350823,93.8429885211247,64.244174853985,117.344336549521
"SimDat20yr",10,2015,128.631941377867,0.998884674928378,0.998034855082343,0.988773444897971,0.998635585651466,103.32138151506,95.3515335617989,65.1980231186627,119.399356174036
"SimDat20yr",10,2015,131.335191543257,0.998900531442126,0.998061488860251,0.98890190546449,0.998650945489328,104.946618230061,96.7251842768564,66.0655827785631,121.273125792291
"SimDat20yr",10,2015,134.07814266807,0.998916067549363,0.998087602257467,0.989028137619205,0.998666039992981,106.587213172708,98.1100142210035,66.9392577405818,123.164534253212
"SimDat20yr",10,2015,136.799802654624,0.998930961773249,0.998112653543814,0.989149501346562,0.998680553432478,108.206814991767,99.4753777697749,67.7997364508354,125.031674200466
"SimDat20yr",10,2015,139.975421359639,0.998947720293337,0.998140860409372,0.989286468936963,0.998696934222796,110.086431333482,101.057802174927,68.7958920864478,127.198488128056
"SimDat20yr",10,2015,144.272288713018,0.998969400506787,0.998177383009711,0.989464322819132,0.998718207088975,112.612863916323,103.181226020379,70.1307595732299,130.110814762192
"SimDat20yr",10,2015,146.991236441018,0.998982564674015,0.998199577266261,0.989572686109308,0.998731169576436,114.201816270785,104.514670286971,70.9679479834729,131.942390408558
"SimDat20yr",10,2015,149.630067913676,0.998994953784447,0.998220477309479,0.989674929888424,0.998743400985188,115.736949109882,105.801477596139,71.7750881676602,133.711872710245
"SimDat20yr",10,2017,1,0.84225905198968,0.719412727257336,0.716772310055369,0.782054995843114,1.78310136338502,2.20487781892105,2.89545629378557,1.65350813079048
"SimDat20yr",10,2017,2.58689776396124,0.911350883411242,0.82726795986206,0.811592130150555,0.857633659701924,3.63868600745015,4.23906587984716,5.29756012639319,3.36867668356881
"SimDat20yr",10,2017,5.43509194201455,0.944901396770995,0.886397083603996,0.86713360154741,0.900290958348473,6.35197976212677,7.06345510218399,8.4919625100323,5.87306662139171
"SimDat20yr",10,2017,8.37819600856587,0.95852223895712,0.912052052070048,0.892642465488199,0.919557881015678,8.78922625942715,9.51204532421662,11.1805555971246,8.1204606443324
